Ward Number,Year,Program/Agency Name,Budget Item,Capital Investment
Ward 20,2022,Recreation,Recreation Investment,496968.8
Ward 21,2022,Recreation,Recreation Investment,77014.92
Ward 22,2022,Recreation,Recreation Investment,69213.76
Ward 23,2022,Recreation,Recreation Investment,62761.3
Ward 24,2022,Recreation,Recreation Investment,73473.08
Ward 25,2022,Recreation,Recreation Investment,391767.94
CW,2022,Recreation,Recreation Investment,64810.21
Ward 1,2023,Recreation,Recreation Investment,387909.52
Ward 2,2023,Recreation,Recreation Investment,342093.63
Ward 3,2023,Recreation,Recreation Investment,92620.46
Ward 4,2023,Recreation,Recreation Investment,498897.34
Ward 5,2023,Recreation,Recreation Investment,221179.56
Ward 6,2023,Recreation,Recreation Investment,387951.45
Ward 7,2023,Recreation,Recreation Investment,435165.22
Ward 8,2023,Recreation,Recreation Investment,93709.78
Ward 9,2023,Recreation,Recreation Investment,337894.03
Ward 10,2023,Recreation,Recreation Investment,56721.61
Ward 11,2023,Recreation,Recreation Investment,434997.81
Ward 12,2023,Recreation,Recreation Investment,112253.78
Ward 13,2023,Recreation,Recreation Investment,449272.5
Ward 14,2023,Recreation,Recreation Investment,367290.75
Ward 15,2023,Recreation,Recreation Investment,283372.99
Ward 16,2023,Recreation,Recreation Investment,284034.42
Ward 17,2023,Recreation,Recreation Investment,243084.61
Ward 18,2023,Recreation,Recreation Investment,291489.48
Ward 19,2023,Recreation,Recreation Investment,392850.36
Ward 20,2023,Recreation,Recreation Investment,491312.96
Ward 21,2023,Recreation,Recreation Investment,-
Ward 22,2023,Recreation,Recreation Investment,170191.15
Ward 23,2023,Recreation,Recreation Investment,184024.87
Ward 24,2023,Recreation,Recreation Investment,184040.96
Ward 25,2023,Recreation,Recreation Investment,270082.14
CW,2023,Recreation,Recreation Investment,178565.82
Ward 1,2024,Recreation,Recreation Investment,284080.53
Ward 2,2024,Recreation,Recreation Investment,413244.61
Ward 3,2024,Recreation,Recreation Investment,164908.08
Ward 4,2024,Recreation,Recreation Investment,340705.42
Ward 5,2024,Recreation,Recreation Investment,187234.45
Ward 6,2024,Recreation,Recreation Investment,77422.09
Ward 7,2024,Recreation,Recreation Investment,237767.08
Ward 8,2024,Recreation,Recreation Investment,486577.8
Ward 9,2024,Recreation,Recreation Investment,156718.39
Ward 10,2024,Recreation,Recreation Investment,90902.93
Ward 11,2024,Recreation,Recreation Investment,373119.76
Ward 12,2024,Recreation,Recreation Investment,273621.12
Ward 13,2024,Recreation,Recreation Investment,324258.35
Ward 14,2024,Recreation,Recreation Investment,141286.32
Ward 15,2024,Recreation,Recreation Investment,337244.58
Ward 16,2024,Recreation,Recreation Investment,86548.08
Ward 17,2024,Recreation,Recreation Investment,418804.53
Ward 18,2024,Recreation,Recreation Investment,330248.07
Ward 19,2024,Recreation,Recreation Investment,136098.55
Ward 20,2024,Recreation,Recreation Investment,271466.01
Ward 21,2024,Recreation,Recreation Investment,488863.28
Ward 22,2024,Recreation,Recreation Investment,221682.37
Ward 23,2024,Recreation,Recreation Investment,70282.21
Ward 24,2024,Recreation,Recreation Investment,152160.84
Ward 25,2024,Recreation,Recreation Investment,305162.55
CW,2024,Recreation,Recreation Investment,431029.89
Ward 1,2025,Recreation,Recreation Investment,209809.97
Ward 2,2025,Recreation,Recreation Investment,137787.75
Ward 3,2025,Recreation,Recreation Investment,459556.57
Ward 4,2025,Recreation,Recreation Investment,131705.78
Ward 5,2025,Recreation,Recreation Investment,142889.48
Ward 6,2025,Recreation,Recreation Investment,220382.19
Ward 7,2025,Recreation,Recreation Investment,203605.73
Ward 8,2025,Recreation,Recreation Investment,481641.13
Ward 9,2025,Recreation,Recreation Investment,141429.43
Ward 10,2025,Recreation,Recreation Investment,331806.4
Ward 11,2025,Recreation,Recreation Investment,298891.56
Ward 12,2025,Recreation,Recreation Investment,456593.34
Ward 13,2025,Recreation,Recreation Investment,283659.99
Ward 14,2025,Recreation,Recreation Investment,412429.5
Ward 15,2025,Recreation,Recreation Investment,312917.92
Ward 16,2025,Recreation,Recreation Investment,114157.9
Ward 17,2025,Recreation,Recreation Investment,417820
Ward 18,2025,Recreation,Recreation Investment,232731.34
Ward 19,2025,Recreation,Recreation Investment,217609.64
Ward 20,2025,Recreation,Recreation Investment,65972.57
Ward 21,2025,Recreation,Recreation Investment,317684.46
Ward 22,2025,Recreation,Recreation Investment,116893.83
Ward 23,2025,Recreation,Recreation Investment,122675.72
Ward 24,2025,Recreation,Recreation Investment,432435.87
Ward 25,2025,Recreation,Recreation Investment,496948.98
CW,2025,Recreation,Recreation Investment,110016.52
Ward 1,2026,Recreation,Recreation Investment,262258.19
Ward 2,2026,Recreation,Recreation Investment,154334.93
Ward 3,2026,Recreation,Recreation Investment,434209.47
Ward 4,2026,Recreation,Recreation Investment,394786.41
Ward 5,2026,Recreation,Recreation Investment,427819.64
Ward 6,2026,Recreation,Recreation Investment,454398.72
Ward 7,2026,Recreation,Recreation Investment,124549.61
Ward 8,2026,Recreation,Recreation Investment,314071.13
Ward 9,2026,Recreation,Recreation Investment,244625.17
Ward 10,2026,Recreation,Recreation Investment,231322.6
Ward 11,2026,Recreation,Recreation Investment,187859.5
Ward 12,2026,Recreation,Recreation Investment,256867.36
Ward 13,2026,Recreation,Recreation Investment,290185.43
Ward 14,2026,Recreation,Recreation Investment,496488.57
Ward 15,2026,Recreation,Recreation Investment,408384.63
Ward 16,2026,Recreation,Recreation Investment,255827.5
Ward 17,2026,Recreation,Recreation Investment,295826.04
Ward 18,2026,Recreation,Recreation Investment,328633.37
Ward 19,2026,Recreation,Recreation Investment,430742.29
Ward 20,2026,Recreation,Recreation Investment,90349.38
Ward 21,2026,Recreation,Recreation Investment,50711.84
Ward 22,2026,Recreation,Recreation Investment,388416.15
Ward 23,2026,Recreation,Recreation Investment,375107.02
Ward 24,2026,Recreation,Recreation Investment,154136.8
Ward 25,2026,Recreation,Recreation Investment,260742.43
CW,2026,Recreation,Recreation Investment,220350.82
Ward 1,2027,Recreation,Recreation Investment,371771.51
Ward 2,2027,Recreation,Recreation Investment,217222.17
Ward 3,2027,Recreation,Recreation Investment,162021.79
Ward 4,2027,Recreation,Recreation Investment,301227.04
Ward 5,2027,Recreation,Recreation Investment,100562.51
Ward 6,2027,Recreation,Recreation Investment,435477.49
Ward 7,2027,Recreation,Recreation Investment,417697.51
Ward 8,2027,Recreation,Recreation Investment,199735.29
Ward 9,2027,Recreation,Recreation Investment,290671.57
Ward 10,2027,Recreation,Recreation Investment,160684.89
Ward 11,2027,Recreation,Recreation Investment,97026.2
Ward 12,2027,Recreation,Recreation Investment,229683.12
Ward 13,2027,Recreation,Recreation Investment,338257.37
Ward 14,2027,Recreation,Recreation Investment,88823.06
Ward 15,2027,Recreation,Recreation Investment,254967.59
Ward 16,2027,Recreation,Recreation Investment,70638.06
Ward 17,2027,Recreation,Recreation Investment,383274.97
Ward 18,2027,Recreation,Recreation Investment,177414.33
Ward 19,2027,Recreation,Recreation Investment,117558.86
Ward 20,2027,Recreation,Recreation Investment,424466.68
Ward 21,2027,Recreation,Recreation Investment,NA
Ward 22,2027,Recreation,Recreation Investment,356311.22
Ward 23,2027,Recreation,Recreation Investment,261682.7
Ward 24,2027,Recreation,Recreation Investment,64287.57
Ward 25,2027,Recreation,Recreation Investment,167277.63
CW,2027,Recreation,Recreation Investment,446018.28
Ward 1,2028,Recreation,Recreation Investment,431796.23
Ward 2,2028,Recreation,Recreation Investment,169671.44
Ward 3,2028,Recreation,Recreation Investment,313894.52
Ward 4,2028,Recreation,Recreation Investment,150306.4
Ward 5,2028,Recreation,Recreation Investment,307869.29
Ward 6,2028,Recreation,Recreation Investment,273966.23
Ward 7,2028,Recreation,Recreation Investment,58428.1
Ward 8,2028,Recreation,Recreation Investment,446047.47
Ward 9,2028,Recreation,Recreation Investment,368471.07
Ward 10,2028,Recreation,Recreation Investment,120329.21
Ward 11,2028,Recreation,Recreation Investment,98424.08
Ward 12,2028,Recreation,Recreation Investment,176430.41
Ward 13,2028,Recreation,Recreation Investment,458805.36
Ward 14,2028,Recreation,Recreation Investment,273676.91
Ward 15,2028,Recreation,Recreation Investment,256852.68
Ward 16,2028,Recreation,Recreation Investment,136345.1
Ward 17,2028,Recreation,Recreation Investment,407857.67
Ward 18,2028,Recreation,Recreation Investment,156946.51
Ward 19,2028,Recreation,Recreation Investment,68851.66
Ward 20,2028,Recreation,Recreation Investment,294405.57
Ward 21,2028,Recreation,Recreation Investment,437777.14
Ward 22,2028,Recreation,Recreation Investment,127510.9
Ward 23,2028,Recreation,Recreation Investment,76348.33
Ward 24,2028,Recreation,Recreation Investment,285438.77
Ward 25,2028,Recreation,Recreation Investment,446262.89
CW,2028,Recreation,Recreation Investment,432603.84
Ward 1,2029,Recreation,Recreation Investment,403018.46
Ward 2,2029,Recreation,Recreation Investment,77440.22
Ward 3,2029,Recreation,Recreation Investment,125790.8
Ward 4,2029,Recreation,Recreation Investment,441221.25
Ward 5,2029,Recreation,Recreation Investment,301391.48
Ward 6,2029,Recreation,Recreation Investment,492447.42
Ward 7,2029,Recreation,Recreation Investment,482518.09
Ward 8,2029,Recreation,Recreation Investment,357596.61
Ward 9,2029,Recreation,Recreation Investment,275251.33
Ward 10,2029,Recreation,Recreation Investment,365385.54
Ward 11,2029,Recreation,Recreation Investment,61690.13
Ward 12,2029,Recreation,Recreation Investment,287017.34
Ward 13,2029,Recreation,Recreation Investment,410486.47
Ward 14,2029,Recreation,Recreation Investment,387377.78
Ward 15,2029,Recreation,Recreation Investment,216413.64
Ward 16,2029,Recreation,Recreation Investment,66745.27
Ward 17,2029,Recreation,Recreation Investment,355496.63
Ward 18,2029,Recreation,Recreation Investment,NA
Ward 19,2029,Recreation,Recreation Investment,414635.18
Ward 20,2029,Recreation,Recreation Investment,173227.04
Ward 21,2029,Recreation,Recreation Investment,296334.28
Ward 22,2029,Recreation,Recreation Investment,228899.17
Ward 23,2029,Recreation,Recreation Investment,68189.91
Ward 24,2029,Recreation,Recreation Investment,222759.01
Ward 25,2029,Recreation,Recreation Investment,384308.58
CW,2029,Recreation,Recreation Investment,330929.41
Ward 1,2030,Recreation,Recreation Investment,196679.55
Ward 2,2030,Recreation,Recreation Investment,443808.9
Ward 3,2030,Recreation,Recreation Investment,445365.21
Ward 4,2030,Recreation,Recreation Investment,326240.98
Ward 5,2030,Recreation,Recreation Investment,278896.33
Ward 6,2030,Recreation,Recreation Investment,415961.15
Ward 7,2030,Recreation,Recreation Investment,423349.07
Ward 8,2030,Recreation,Recreation Investment,74137.84
Ward 9,2030,Recreation,Recreation Investment,449620.98
Ward 10,2030,Recreation,Recreation Investment,342847.88
Ward 11,2030,Recreation,Recreation Investment,287151.82
Ward 12,2030,Recreation,Recreation Investment,135371
Ward 13,2030,Recreation,Recreation Investment,384430.12
Ward 14,2030,Recreation,Recreation Investment,455983.79
Ward 15,2030,Recreation,Recreation Investment,69501.92
Ward 16,2030,Recreation,Recreation Investment,252608.33
Ward 17,2030,Recreation,Recreation Investment,284374.92
Ward 18,2030,Recreation,Recreation Investment,254149.1
Ward 19,2030,Recreation,Recreation Investment,372993.44
Ward 20,2030,Recreation,Recreation Investment,154458.81
Ward 21,2030,Recreation,Recreation Investment,264771.02
Ward 22,2030,Recreation,Recreation Investment,188409.77
Ward 23,2030,Recreation,Recreation Investment,76987.73
Ward 24,2030,Recreation,Recreation Investment,341351.98
Ward 25,2030,Recreation,Recreation Investment,80006.03
CW,2030,Recreation,Recreation Investment,412328.18
Ward 1,2031,Recreation,Recreation Investment,361561.49
Ward 2,2031,Recreation,Recreation Investment,283288.82
Ward 3,2031,Recreation,Recreation Investment,374724.77
Ward 4,2031,Recreation,Recreation Investment,426567.37
Ward 5,2031,Recreation,Recreation Investment,145463.7
Ward 6,2031,Recreation,Recreation Investment,290232.79
Ward 7,2031,Recreation,Recreation Investment,413502.81
Ward 8,2031,Recreation,Recreation Investment,302843.86
Ward 9,2031,Recreation,Recreation Investment,240646.34
Ward 10,2031,Recreation,Recreation Investment,65590.74
Ward 11,2031,Recreation,Recreation Investment,386785.86
Ward 12,2031,Recreation,Recreation Investment,312998.11
Ward 13,2031,Recreation,Recreation Investment,391888.24
Ward 14,2031,Recreation,Recreation Investment,79706.68
Ward 15,2031,Recreation,Recreation Investment,375507.26
Ward 16,2031,Recreation,Recreation Investment,438799.72
Ward 17,2031,Recreation,Recreation Investment,353780.62
Ward 18,2031,Recreation,Recreation Investment,175597.66
Ward 19,2031,Recreation,Recreation Investment,308063.9
Ward 20,2031,Recreation,Recreation Investment,474489.48
Ward 21,2031,Recreation,Recreation Investment,294878.87
Ward 22,2031,Recreation,Recreation Investment,202565.29
Ward 23,2031,Recreation,Recreation Investment,386579.03
Ward 24,2031,Recreation,Recreation Investment,415384.32
Ward 25,2031,Recreation,Recreation Investment,418672.29
CW,2031,Recreation,Recreation Investment,233756.58
