Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 11 Wading Pool Convert to Splash Pad (1), -   ,50.00,650.00, -   , -   , -   , -   , -   , -   , -   ,700.00,11,University-Rosedale,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 15 Splash Pad (7)  , -   , -   , -   , -   , -   , -   ,40.00,660.00, -   , -   ,700.00,15,Don Valley West,Growth Related 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 16 Splash Pad (3) , -   ,40.00,660.00, -   , -   , -   , -   , -   , -   , -   ,700.00,16,Don Valley East,Growth Related 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 2 Splash Pad (5) , -   , -   , -   , -   ,40.00,660.00, -   , -   , -   , -   ,700.00,2,Etobicoke Centre,Growth Related 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 23 Splash Pad (4) , -   , -   ,40.00,660.00, -   , -   , -   , -   , -   , -   ,700.00,23,Scarborough-North,Growth Related 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 24 Splash Pad (2) ,40.00,660.00, -   , -   , -   , -   , -   , -   , -   , -   ,700.00,24,Scarborough-Guildwood,Growth Related 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 6 Splash Pad (6) , -   , -   , -   , -   , -   , -   ,40.00,660.00, -   , -   ,700.00,6,York Centre ,Growth Related 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 8 Wading Pool Convert to Splash Pad (2) , -   ,50.00,650.00, -   , -   , -   , -   , -   , -   , -   ,700.00,8,Eglinton-Lawrence,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Gledhill Park - Splash Pad Upgrade, -   ,40.00,660.00, -   , -   , -   , -   , -   , -   , -   ,700.00,19,Beaches-East York,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,L`Amoreaux Kidstown Improvements S42, -   ,4993.00, -   , -   , -   , -   , -   , -   , -   , -   ,4993.00,22,Scarborough-Agincourt,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Play Enhancement Program ,3673.00,7927.00,5800.00,5800.00,5800.00,5800.00,5800.00,5800.00,5800.00,5800.00,58000.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Spring Garden Park (West) - New Playground ,300.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,300.00,3,Etobicoke-Lakeshore,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Willowdale Park & Playground Improvements S37,100.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,100.00,18,Willowdale,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,Blantyre ODP Improvements S37 S42 ,250.00,917.00,1000.00, -   , -   , -   , -   , -   , -   , -   ,2167.00,20,Scarborough Southwest,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,CAMP (SGR) Pools,-124.00,5032.00,3208.00, -   , -   , -   , -   , -   , -   , -   ,8116.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Pool,CAMP (SGR) Pools , -   , -   , -   ,3114.00,6498.00,885.00,4418.00,4952.00,7200.00,4882.00,31949.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Pool,CAMP (SGR) Pools FY2018-2020,5092.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,5092.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Pool,Davisville Community Pool - Construction , -   ,17803.00,8167.00, -   , -   , -   , -   , -   , -   , -   ,25970.00,12,Toronto-St. Pauls,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,Davisville Community Pool - Design,875.00,960.00,645.00, -   , -   , -   , -   , -   , -   , -   ,2480.00,12,Toronto-St. Pauls,Growth Related 
"Parks, Forestry & Recreation",Pool,FMP-North York Pool Addition (2) Construction, -   , -   , -   , -   , -   , -   , -   ,12000.00,15000.00, -   ,27000.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,FMP-North York Pool Addition (2) Design , -   , -   , -   , -   , -   , -   ,625.00,1500.00,875.00, -   ,3000.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,FMP-Scadding Court Pool Replacement Construction , -   , -   , -   , -   , -   ,12000.00,15000.00, -   , -   , -   ,27000.00,10,Spadina-Fort York,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,FMP-Scadding Court Pool Replacement Design , -   , -   , -   , -   ,625.00,1500.00,875.00, -   , -   , -   ,3000.00,10,Spadina-Fort York,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,FMP-Scarborough Pool Addition (3) Design , -   , -   , -   , -   , -   , -   , -   , -   ,625.00,3375.00,4000.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,FMP-Waterfront West Pool Addition (1) Construction, -   , -   , -   ,12000.00,15000.00, -   , -   , -   , -   , -   ,27000.00,10,Spadina-Fort York,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,FMP-Waterfront West Pool Addition (1) Design , -   , -   ,625.00,1500.00,875.00, -   , -   , -   , -   , -   ,3000.00,10,Spadina-Fort York,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Pool,Goulding Pool Shade Treatment S37,200.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,200.00,18,Willowdale,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,2017 High Lake Effect - Flooding Damage & Repairs,3958.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3958.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Special Facilities,2018 Wind Storm Damages ,1990.00,660.00, -   , -   , -   , -   , -   , -   , -   , -   ,2650.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Special Facilities,Algonquin Island North Shore Berm,1110.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1110.00,10,Spadina-Fort York,State of Good Repair 
"Parks, Forestry & Recreation",Special Facilities,Allan Gardens Washroom Building Construction - S42,16.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,16.00,13,Toronto Centre,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,CAMP (SGR) SF Building & Structures,5702.00,5665.00,4987.00,3388.00,3444.00,3201.00,1665.00,2008.00,4071.00,3189.00,37320.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Special Facilities,CAMP (SGR) SF Building & Structures FY2020-2021,3000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3000.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Special Facilities,"CAMP(SGR) Harbourfront, Marine,Fountains &Seawalls", -   , -   , -   ,2228.00,4811.00,7219.00,5849.00,2917.00,4472.00,4060.00,31556.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Special Facilities,"CAMP(SGR) Harbourfront,Marine,Ftn&Seawall",1306.00,2300.00,2942.00, -   , -   , -   , -   , -   , -   , -   ,6548.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Special Facilities,Centennial Park S Ski Hill- T-Bar Lift Replacement, -   ,315.00, -   , -   , -   , -   , -   , -   , -   , -   ,315.00,2,Etobicoke Centre,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,Centennial Ski Hill Slope - Re-Grading, -   ,100.00, -   , -   , -   , -   , -   , -   , -   , -   ,100.00,2,Etobicoke Centre,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,Ferry Design & Infrastructure,1650.00,4650.00,4650.00, -   , -   , -   , -   , -   , -   , -   ,10950.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,Ferry Vessel Replacement #1, -   ,8758.00, -   , -   , -   , -   , -   , -   , -   , -   ,8758.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,Ferry Vessel Replacement #1 - Change of Scope, -   ,1262.00,238.00, -   , -   , -   , -   , -   , -   , -   ,1500.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,Ferry Vessel Replacement #2, -   ,5622.00,7378.00, -   , -   , -   , -   , -   , -   , -   ,13000.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,Ferry Vessel Replacement #3, -   , -   , -   , -   ,7520.00,6480.00, -   , -   , -   , -   ,14000.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,Ferry Vessels 1 & 2 Replacement, -   , -   ,23668.00,5274.00, -   , -   , -   , -   , -   , -   ,28942.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,Golf Courses Rehabilitation,500.00, -   ,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,4500.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Special Facilities,Golf Courses Rehabilitation , -   ,500.00, -   , -   , -   , -   , -   , -   , -   , -   ,500.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Special Facilities,High Pk Forestry School Building Phase 2 S37,180.00,250.00, -   , -   , -   , -   , -   , -   , -   , -   ,430.00,4,Parkdale-High Park,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,Maple Leaf Cottage Renovation S42,295.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,295.00,14,Toronto-Danforth,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Special Facilities,University Avenue Median Park Improvements ,50.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,50.00,11,University-Rosedale,State of Good Repair 
"Parks, Forestry & Recreation",Trails & Pathways,Bridge to Mississauga via Etobicoke Valley Pk,80.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,80.00,3,Etobicoke-Lakeshore,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Trails & Pathways,Brookbanks Park Trail Improvements S37,400.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,400.00,16,Don Valley East,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Trails & Pathways,"CAMP (SGR) Trails, Pathways & Bridges", -   , -   , -   ,1817.00,6926.00,5315.00,6685.00,4167.00,7456.00,4148.00,36514.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Trails & Pathways,"CAMP (SGR) Trails, Pathways & Bridges ",5059.00,2681.00,326.00, -   , -   , -   , -   , -   , -   , -   ,8066.00,CW,City Wide,State of Good Repair 
"Parks, Forestry & Recreation",Trails & Pathways,East Don Trail Ph 1 Construction,1000.00,3900.00, -   , -   , -   , -   , -   , -   , -   , -   ,4900.00,CW,City Wide,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Trails & Pathways,Green Line Design & Construction, -   ,800.00, -   , -   , -   , -   , -   , -   , -   , -   ,800.00,9,Davenport,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Trails & Pathways,Green Line Study & Plan,171.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,171.00,9,Davenport,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Trails & Pathways,John Street Corridor, -   ,1000.00, -   , -   , -   , -   , -   , -   , -   , -   ,1000.00,10,Spadina-Fort York,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Trails & Pathways,S Keelesdale Pk-Stair Improvt NE Corner Eglinton, -   ,251.00, -   , -   , -   , -   , -   , -   , -   , -   ,251.00,5,York South-Weston ,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Trails & Pathways,Sherway Trail, -   , -   ,121.00, -   , -   , -   , -   , -   , -   , -   ,121.00,3,Etobicoke-Lakeshore,Service Improvement and Enhancement 
"Parks, Forestry & Recreation",Trails & Pathways,South Mimico Trail, -   ,495.00, -   , -   , -   , -   , -   , -   , -   , -   ,495.00,CW,City Wide,Service Improvement and Enhancement 
Scarborough Subway Extension,Scarborough Subway Extension,SRT Life Extension,5302.00,12994.00,8375.00, -   , -   , -   , -   , -   , -   , -   ,26671.00,CW,City Wide,Growth Related 
Seniors Services and Long-Term Care,Building Health & Safety,Buildiing Health & Safety - 2022 ,1615.00,500.00, -   , -   , -   , -   , -   , -   , -   , -   ,2115.00,CW,City Wide,Health and Safety 
Seniors Services and Long-Term Care,Building Health & Safety,Building Health & Safety  - Future Years, -   ,1615.00,2115.00,2115.00,1650.00,1530.00,1530.00,1530.00,1530.00,1530.00,15145.00,CW,City Wide,Health and Safety 
Seniors Services and Long-Term Care,Building Health & Safety,Building Health & Safety - 2021 ,1481.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1481.00,CW,City Wide,Health and Safety 
Seniors Services and Long-Term Care,Building SOGR,Building SOGR - 2021,6177.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,6177.00,CW,City Wide,State of Good Repair 
Seniors Services and Long-Term Care,Building SOGR,Building SOGR - 2022 ,200.00,11824.00, -   , -   , -   , -   , -   , -   , -   , -   ,12024.00,CW,City Wide,State of Good Repair 
Seniors Services and Long-Term Care,Building SOGR,Building SOGR - Future Years, -   ,200.00,11441.00,9024.00,7032.00,6520.00,6520.00,6520.00,6520.00,6520.00,60297.00,CW,City Wide,State of Good Repair 
Seniors Services and Long-Term Care,Carefree Lodge Redevelopment,Carefree Lodge Redevelopment, -   ,9625.00,36000.00,64230.00,55240.00, -   , -   , -   , -   , -   ,165095.00,23,Scarborough-North,Growth Related 
"Shelter, Support & Housing Administration", Addition of 1000 New Shelter Beds-2018 to 2020,New Emergency Shelters (1000 Shelter Beds) Site 4, -   , -   ,8000.00, -   , -   , -   , -   , -   , -   , -   ,8000.00,13,Toronto Centre,Service Improvement and Enhancement 
"Shelter, Support & Housing Administration", Addition of 1000 New Shelter Beds-2018 to 2020,New Emergency Shelters (1000 Shelter Beds) Site 8, -   ,1700.00, -   , -   , -   , -   , -   , -   , -   , -   ,1700.00,13,Toronto Centre,Service Improvement and Enhancement 
"Shelter, Support & Housing Administration", Addition of 1000 New Shelter Beds-2018 to 2020,New Emergency Shelters (1000 Shelter Beds)-Site 1, -   ,494.00,1153.00, -   , -   , -   , -   , -   , -   , -   ,1647.00,CW,City Wide,Service Improvement and Enhancement 
"Shelter, Support & Housing Administration", AODA,AODA,1865.00,428.00,560.00,2638.00, -   , -   , -   , -   , -   , -   ,5491.00,CW,City Wide,Legislated 
"Shelter, Support & Housing Administration",25 Canterbury (Eva's Satellite),Finalizing Review and Design of 25 Canterbury,500.00,500.00, -   , -   , -   , -   , -   , -   , -   , -   ,1000.00,18,Willowdale,Service Improvement and Enhancement 
"Shelter, Support & Housing Administration",674 Dundas Street W (Women's Residence),Feasibility Review of 674 Dundas Street W,500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,500.00,11,University-Rosedale,State of Good Repair 
"Shelter, Support & Housing Administration",Capital Repairs/Repl : City Operated ,Capital Repairs/Replacemnt-City Operated-2020-2028,5251.00,4575.00,3769.00,10331.00,12385.00,11705.00,11092.00,10817.00,10555.00,8352.00,88832.00,CW,City Wide,State of Good Repair 
"Shelter, Support & Housing Administration",Choice Based Housing Access System,Choice Based Housing Access System,3500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3500.00,CW,City Wide,Service Improvement and Enhancement 
"Shelter, Support & Housing Administration",George Street Revitalization (GSR),GSR - Transition,7582.00,5748.00, -   , -   , -   , -   , -   , -   , -   , -   ,13330.00,CW,City Wide,Service Improvement and Enhancement 
"Shelter, Support & Housing Administration",George Street Revitalization (GSR),GSR Phase III-Construction,1908.00,7920.00,4969.00,21540.00,441038.00, -   , -   , -   , -   , -   ,477375.00,13,Toronto Centre,Service Improvement and Enhancement 
"Shelter, Support & Housing Administration",George Street Revitalization (GSR),GSR Phase III-Construction- Scope change, -   , -   , -   , -   ,92620.00,516.00, -   , -   , -   , -   ,93136.00,13,Toronto Centre,Service Improvement and Enhancement 
"Shelter, Support & Housing Administration",HVAC Upgrades (Sites # 14),HVAC Upgrades (Sites # 14) ,1500.00,2000.00,2000.00,2000.00, -   , -   , -   , -   , -   , -   ,7500.00,CW,City Wide,Health and Safety 
"Shelter, Support & Housing Administration",Strachan House Redevelopment ,Strachan House Redevelopment ,500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,500.00,10,Spadina-Fort York,Service Improvement and Enhancement 
Solid Waste Management,Biogas Utilization,Biogas Utilization at Disco,50.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,50.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Biogas Utilization,Biogas Utilization at Dufferin,314.00,299.00, -   , -   , -   , -   , -   , -   , -   , -   ,613.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,COLLECTION YARD ASSET MANAGEMENT,CYAM - BERMONDSEY,397.00,815.00,67.00,68.00,151.00,155.00,347.00,559.00,1092.00,611.00,4262.00,CW,City Wide,State of Good Repair 
Solid Waste Management,COLLECTION YARD ASSET MANAGEMENT,CYAM - GENERAL,288.00,751.00,172.00,172.00,167.00,167.00,167.00,167.00,167.00,167.00,2385.00,CW,City Wide,State of Good Repair 
Solid Waste Management,COLLECTION YARD ASSET MANAGEMENT,CYAM - INGRAM,859.00,859.00,860.00,860.00,322.00,151.00,251.00,705.00,565.00,267.00,5699.00,CW,City Wide,State of Good Repair 
Solid Waste Management,COLLECTION YARD ASSET MANAGEMENT,CYAM - YONGE,479.00,104.00,273.00,28.00,131.00,211.00,317.00,455.00,696.00,186.00,2880.00,CW,City Wide,State of Good Repair 
Solid Waste Management,Diversion Systems Bins,2nd Generation Green Bin Replacement,400.00,400.00,400.00,400.00,400.00,400.00, -   , -   , -   , -   ,2400.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Diversion Systems Bins,2nd Generation Green Bin Replacement - Future Year, -   , -   , -   , -   , -   , -   ,400.00,400.00,400.00,400.00,1600.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Diversion Systems Bins,Multi-Residential In-Unit Recycling Bags,30.00,30.00,30.00,30.00,30.00,30.00,5.00,5.00, -   , -   ,190.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Diversion Systems Bins,Multi-Residential In-Unit Recycling Bags - Future , -   , -   , -   , -   , -   , -   ,25.00,25.00,25.00,25.00,100.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Diversion Systems Bins,Replacement Waste Bins Single Family - Change,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,30000.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Diversion Systems Bins,SSO IN-UNIT KITCHEN CONTAINERS,80.00,60.00,60.00,60.00,60.00,60.00, -   , -   , -   , -   ,380.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Diversion Systems Bins,SSO In-Unit Kitchen Containers - Future Years, -   , -   , -   , -   , -   , -   ,60.00,60.00,60.00,60.00,240.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Dufferin SSO Facility,Dufferin SSO Facility,479.00,1300.00, -   , -   , -   , -   , -   , -   , -   , -   ,1779.00,CW,City Wide,Growth Related 
Solid Waste Management,Dufferin Waste Facility Site Improvement,Dufferin Waste Facility Site Improvement 2018-2020,205.00,4957.00,17330.00,15883.00, -   , -   , -   , -   , -   , -   ,38375.00,CW,City Wide,State of Good Repair 
Solid Waste Management,Engineering Planning Studies,ENGINEERING PLANNING STUDIES - 2018, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Engineering Planning Studies,Engineering Planning Studies - 2021, -   , -   , -   , -   , -   ,93.00,503.00,1697.00,939.00,23.00,3255.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Engineering Planning Studies,Engineering Planning Studies - 2021 New,876.00,1293.00,243.00,63.00,128.00, -   , -   , -   , -   , -   ,2603.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,FLEET TECHNOLOGY ENHANCEMENTS,FLEET TECHNOLOGY ENHANCEMENTS ,400.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,3100.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Green Lane Landfill Development,BUFFER LAND ACQUSITION, -   , -   , -   , -   ,3000.00, -   , -   , -   , -   ,3000.00,6000.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Cell Excavation & Base Construction,5574.00,7260.00,7260.00,7260.00,10420.00, -   , -   , -   , -   , -   ,37774.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Cell Excavation & Base Construction - Future Years, -   , -   , -   , -   , -   ,7260.00,7260.00,7260.00,7260.00,7260.00,36300.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Engineering & Monitoring,87.00,900.00,1000.00,1800.00,1800.00, -   , -   , -   , -   , -   ,5587.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Engineering and Monitoring Future Years, -   , -   , -   , -   , -   ,1800.00,1800.00,1800.00,1800.00,1800.00,9000.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Landfill Gas Control System,6255.00,2290.00,2190.00,890.00,890.00, -   , -   , -   , -   , -   ,12515.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Landfill Gas Control System - Future Years, -   , -   , -   , -   , -   ,890.00,890.00,890.00,890.00,890.00,4450.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Landfill Gas Utilization, -   , -   ,3987.00,11009.00,20600.00,14600.00, -   , -   , -   , -   ,50196.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Green Lane Landfill Development,Leachate Control System,2481.00,830.00,830.00,1330.00,1330.00, -   , -   , -   , -   , -   ,6801.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Leachate Control System - Future Years, -   , -   , -   , -   , -   ,1330.00,1330.00,1330.00,1330.00,1330.00,6650.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Site Services/Final Cover/Storm Control ,1320.00,1120.00,1120.00,1120.00,1120.00, -   , -   , -   , -   , -   ,5800.00,CW,City Wide,Legislated 
Solid Waste Management,Green Lane Landfill Development,Site Services/Final Cover/Storm Future Years, -   , -   , -   , -   , -   ,1120.00,1120.00,1120.00,1120.00,1120.00,5600.00,CW,City Wide,Legislated 
Solid Waste Management,IT Corporate Initiatives,Electronic Document & Records Mgmt Solution,215.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,215.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,IT Corporate Initiatives,Work Management System (WMS) Implementation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Landfill Capacity Dev/Energy from Waste,Landfill Capacity Dev/Energy from Waste,500.00,1000.00,2500.00,2500.00,2500.00, -   , -   , -   ,50000.00,50000.00,109000.00,CW,City Wide,Legislated 
Solid Waste Management,Long Term Waste Management Strategy,EXTENDED PRODUCER RESPONSIBILITY TRANSITION,2667.00,1950.00,1850.00,150.00, -   , -   , -   , -   , -   , -   ,6617.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Long Term Waste Management Strategy,LONG TERM WASTE MANAGEMENT STRATEGY UPDATE,100.00,250.00,100.00, -   ,500.00, -   , -   , -   , -   , -   ,950.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Long Term Waste Management Strategy,MIXED WASTE PROCESSING W/ ORGANICS RCVRY,550.00,195.00,550.00,551.00,550.00,550.00,550.00,550.00,173.00, -   ,4219.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Long Term Waste Management Strategy,Policy Planning Studies ,750.00,500.00,500.00,500.00,500.00, -   , -   , -   , -   , -   ,2750.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,Long Term Waste Management Strategy,PROMO & EDU / UFRICE / 3RS&MR ,3427.00,3500.00,3000.00,2850.00,2723.00, -   , -   , -   , -   , -   ,15500.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,OPF ASSET MANAGEMENT,DISCO OPF,4474.00,4082.00,3880.00,2599.00,1108.00,1317.00,627.00, -   ,4000.00,3000.00,25087.00,CW,City Wide,State of Good Repair 
Solid Waste Management,OPF ASSET MANAGEMENT,DISCO OPF   ,-2000.00, -   , -   ,2000.00, -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,State of Good Repair 
Solid Waste Management,OPF ASSET MANAGEMENT,DUFFERIN OPF,1000.00,200.00,2500.00,1500.00,2950.00,2500.00,3000.00,100.00,100.00,100.00,13950.00,CW,City Wide,State of Good Repair 
Solid Waste Management,ORGANICS PROCESSING FACILITY,ORGANIC PROCESSING FACILITY,1361.00,1378.00,21446.00,34450.00,33107.00,25055.00,12503.00, -   , -   , -   ,129300.00,CW,City Wide,Growth Related 
Solid Waste Management,PERPETUAL CARE OF LANDFILLS,BEARE ROAD,310.00,510.00,110.00,110.00,1110.00,110.00,110.00,110.00,110.00,75.00,2665.00,CW,City Wide,Legislated 
Solid Waste Management,PERPETUAL CARE OF LANDFILLS,BROCK WEST,646.00,1896.00,1696.00,896.00,896.00,896.00,896.00,896.00,896.00,250.00,9864.00,CW,City Wide,Legislated 
Solid Waste Management,PERPETUAL CARE OF LANDFILLS,KEELE VALLEY,3860.00,3210.00,2305.00,2005.00,2005.00,2005.00,3005.00,3505.00,3505.00,220.00,25625.00,CW,City Wide,Legislated 
Solid Waste Management,PERPETUAL CARE OF LANDFILLS,MULTI-CLOSED LANDFILLS,3542.00,3496.00,3281.00,4281.00,3981.00,2981.00,2981.00,2981.00,3021.00,2800.00,33345.00,CW,City Wide,Legislated 
Solid Waste Management,PERPETUAL CARE OF LANDFILLS,Perpetual Care of Landfills-CSW312-16,516.00,500.00, -   , -   , -   , -   , -   , -   , -   , -   ,1016.00,CW,City Wide,Legislated 
Solid Waste Management,PERPETUAL CARE OF LANDFILLS,Perpetual Care of Landfills-CSW312-18,671.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,671.00,CW,City Wide,Legislated 
Solid Waste Management,RENEWABLE NATURAL GAS KVL,RNG KVL,300.00,500.00, -   , -   , -   , -   , -   , -   , -   , -   ,800.00,CW,City Wide,State of Good Repair 
Solid Waste Management,SWM IT Application Initiatives, Data Governance & Master Data Management,329.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,329.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Building Automation System Upgrade, -   , -   ,395.00, -   , -   , -   , -   , -   , -   , -   ,395.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,"Business Intelligence 3.0 - SAP, WMACS", -   ,288.00,491.00, -   , -   , -   , -   , -   , -   , -   ,779.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,"Business Intelligence 4.0-Cntrct Data, Maximo ect", -   , -   ,356.00,389.00, -   , -   , -   , -   , -   , -   ,745.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Business Intelligence 5.0 - Predictive Analytics, -   , -   , -   , -   ,367.00, -   , -   , -   , -   , -   ,367.00,CW,City Wide,Service Improvement and Enhancement 
